batch:  1000, over_loss:  50.09087, position:   4.98173, hold:  12.48537, trajactory:   3.38367, velocity:  28.23349, jerk:   0.08452, muscle:   0.92210
batch:  2000, over_loss:  33.09624, position:   3.66125, hold:   8.24356, trajactory:   1.96488, velocity:  18.46213, jerk:   0.07687, muscle:   0.68755
batch:  3000, over_loss:  25.50342, position:   2.87904, hold:   6.80708, trajactory:   1.21346, velocity:  13.87399, jerk:   0.07796, muscle:   0.65188
batch:  4000, over_loss:  20.05549, position:   2.49617, hold:   5.74143, trajactory:   0.80493, velocity:  10.20639, jerk:   0.09040, muscle:   0.71618
batch:  5000, over_loss:  16.74158, position:   2.26742, hold:   5.01943, trajactory:   0.60485, velocity:   7.94962, jerk:   0.09300, muscle:   0.80726
batch:  6000, over_loss:  14.85431, position:   2.16236, hold:   4.56985, trajactory:   0.49711, velocity:   6.70076, jerk:   0.10314, muscle:   0.82108
batch:  7000, over_loss:  13.53196, position:   2.12611, hold:   4.29161, trajactory:   0.42930, velocity:   5.75995, jerk:   0.10395, muscle:   0.82103
batch:  8000, over_loss:  12.58775, position:   2.08328, hold:   4.12684, trajactory:   0.37301, velocity:   5.06986, jerk:   0.11172, muscle:   0.82304
batch:  9000, over_loss:  11.88291, position:   2.03162, hold:   3.92221, trajactory:   0.34319, velocity:   4.64324, jerk:   0.11442, muscle:   0.82823
batch: 10000, over_loss:  11.22281, position:   1.98748, hold:   3.72794, trajactory:   0.31307, velocity:   4.23576, jerk:   0.12155, muscle:   0.83701
batch: 11000, over_loss:  10.26045, position:   1.87996, hold:   3.42239, trajactory:   0.24845, velocity:   3.73885, jerk:   0.12070, muscle:   0.85009
batch: 12000, over_loss:   9.62316, position:   1.91400, hold:   3.20013, trajactory:   0.21563, velocity:   3.29833, jerk:   0.12638, muscle:   0.86869
batch: 13000, over_loss:   9.16695, position:   1.86697, hold:   3.02968, trajactory:   0.20080, velocity:   3.06523, jerk:   0.13329, muscle:   0.87098
batch: 14000, over_loss:   8.78276, position:   1.79208, hold:   2.88599, trajactory:   0.18169, velocity:   2.91495, jerk:   0.13035, muscle:   0.87770
batch: 15000, over_loss:   8.34578, position:   1.74777, hold:   2.71903, trajactory:   0.16603, velocity:   2.70056, jerk:   0.13775, muscle:   0.87464
batch: 16000, over_loss:   8.12429, position:   1.65522, hold:   2.63767, trajactory:   0.15808, velocity:   2.65710, jerk:   0.13454, muscle:   0.88167
batch: 17000, over_loss:   7.84745, position:   1.73142, hold:   2.52186, trajactory:   0.14152, velocity:   2.43921, jerk:   0.13882, muscle:   0.87462
batch: 18000, over_loss:   7.67861, position:   1.71125, hold:   2.43243, trajactory:   0.13836, velocity:   2.38025, jerk:   0.13981, muscle:   0.87651
batch: 19000, over_loss:   7.30485, position:   1.66035, hold:   2.32386, trajactory:   0.13178, velocity:   2.18383, jerk:   0.13520, muscle:   0.86983
batch: 20000, over_loss:   7.21427, position:   1.62309, hold:   2.27650, trajactory:   0.12407, velocity:   2.18274, jerk:   0.14151, muscle:   0.86636
