batch:  1000, over_loss:  66.30848, position:   6.60862, hold:  16.64552, trajactory:   5.55750, velocity:  36.32283, jerk:   0.03954, muscle:   1.13448
batch:  2000, over_loss:  48.72309, position:   3.99339, hold:  11.46019, trajactory:   3.63086, velocity:  28.44515, jerk:   0.05799, muscle:   1.13552
batch:  3000, over_loss:  41.65019, position:   3.44412, hold:   8.79688, trajactory:   2.90872, velocity:  25.43694, jerk:   0.04895, muscle:   1.01458
batch:  4000, over_loss:  34.07418, position:   3.00490, hold:   7.14498, trajactory:   2.01618, velocity:  20.94522, jerk:   0.05852, muscle:   0.90438
batch:  5000, over_loss:  29.70997, position:   2.73117, hold:   6.43948, trajactory:   1.62240, velocity:  17.98244, jerk:   0.06792, muscle:   0.86656
batch:  6000, over_loss:  25.23280, position:   2.62064, hold:   5.79363, trajactory:   1.22187, velocity:  14.61087, jerk:   0.07936, muscle:   0.90643
batch:  7000, over_loss:  22.72778, position:   2.52271, hold:   5.38542, trajactory:   0.94636, velocity:  12.84629, jerk:   0.08151, muscle:   0.94550
batch:  8000, over_loss:  20.34531, position:   2.48079, hold:   4.94542, trajactory:   0.79539, velocity:  11.04795, jerk:   0.08777, muscle:   0.98799
batch:  9000, over_loss:  18.66117, position:   2.37275, hold:   4.68134, trajactory:   0.67098, velocity:   9.87457, jerk:   0.08673, muscle:   0.97479
batch: 10000, over_loss:  17.32327, position:   2.32339, hold:   4.37706, trajactory:   0.58587, velocity:   8.97175, jerk:   0.08699, muscle:   0.97821
batch: 11000, over_loss:  16.37717, position:   2.25572, hold:   4.14535, trajactory:   0.54292, velocity:   8.37337, jerk:   0.09125, muscle:   0.96857
batch: 12000, over_loss:  15.57674, position:   2.18302, hold:   3.98944, trajactory:   0.48667, velocity:   7.86375, jerk:   0.09195, muscle:   0.96191
batch: 13000, over_loss:  14.63772, position:   2.09263, hold:   3.84744, trajactory:   0.45109, velocity:   7.20411, jerk:   0.09362, muscle:   0.94882
batch: 14000, over_loss:  14.01564, position:   2.07653, hold:   3.62726, trajactory:   0.41281, velocity:   6.85775, jerk:   0.09914, muscle:   0.94215
batch: 15000, over_loss:  13.21683, position:   2.02571, hold:   3.51167, trajactory:   0.37085, velocity:   6.27840, jerk:   0.09735, muscle:   0.93285
batch: 16000, over_loss:  12.77877, position:   1.98886, hold:   3.43240, trajactory:   0.35939, velocity:   5.96725, jerk:   0.10064, muscle:   0.93023
batch: 17000, over_loss:  12.25085, position:   2.05880, hold:   3.28358, trajactory:   0.32161, velocity:   5.55816, jerk:   0.10200, muscle:   0.92671
batch: 18000, over_loss:  11.75202, position:   2.01656, hold:   3.18174, trajactory:   0.30175, velocity:   5.22647, jerk:   0.10522, muscle:   0.92029
batch: 19000, over_loss:  11.34205, position:   2.00585, hold:   3.03612, trajactory:   0.27781, velocity:   5.00333, jerk:   0.10800, muscle:   0.91094
batch: 20000, over_loss:  11.13314, position:   1.97694, hold:   2.97157, trajactory:   0.25402, velocity:   4.91014, jerk:   0.10856, muscle:   0.91191
